n_year,migrants_arrived,boats_arrived,migrants_per_boat
2018,299,43,6.953488372093023
2019,1843,164,11.237804878048781
2020,8462,641,13.201248049921997
2021,28526,1034,27.588007736943908
2022,45755,1110,41.22072072072072
2023,29437,602,48.89867109634552
2024,36816,695,52.9726618705036
2025,39075,633,61.72985781990521
